"Arnold, Dorothea",Studien zur Altagyptischen keramik.,===> Solicitar a/por: DEGIP: 1-1-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kemp, Barry J.; Merrillees, Robert S.",Minoan pottery in second millennium Egypt .,===> Solicitar a/por: DEGIP: 1-1-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atti Sesto Congresso Internazionale di EGittologia .,Torino: 1992. 2 v.: ilus.; incl.ref .,===> Solicitar a/por: DEGIP: 1-1-411-1-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Menu, Bernadette",Les problŽmes institutionnels de l'eau en Egypte ancienne et dans l'antiquitŽ mŽditerranŽene.,===> Solicitar a/por: DEGIP: 1-1-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barta, Winfried",Untersuchungen zur Gšttlichkeit des regierenden Kšnigs.,===> Solicitar a/por: DEGIP: 1-2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boorn, van den, G.P.F.",The duties of the Vizier.,===> Solicitar a/por: DEGIP: 1-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cialowicz, Krzysztof M.",Les palettes Žgyptiennes aux motifs zoomorphes et sans dŽcoration: Žtudes de l'art prŽdynasqtique.,===> Solicitar a/por: DEGIP: 1-2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brink, van den, E.C.M., ed.",The archaeology of the Nile Delta: problems and priorities.,===> Solicitar a/por: DEGIP: 2-1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sliwa, Joachim",Egyptian scarabs and magical gems from the collection of Constantine Schmidt-Ciazynski.,===> Solicitar a/por: DIGEP: 1-2-4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gutgesell, Manfred",Arbeiter und pharaonen: wirtschafts und sozialgeschichte im Alten Agypten.,===> Solicitar a/por: DEGIP: 1-2-5,,,,,,<HISTORIA>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Buenos Aires; Facultad de Filosof’a y Letras,La ciudad a travŽs del tiempo.,===> Solicitar a/por: DEGIP: 1-2-6; DIMED: W2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuscaldo, Perla","La ciudad en la antigua Mesopotamia,",===> Solicitar a/por: DEGIP: 1-2-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heltzer, M., ed.; Lipinski, E.",Society and economy in the Eastern Mediterranean (c.1500-1000 B. C.).,===> Solicitar a/por: DEGIP: 1-2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greene, John T.",The role of the messenger and the message in the ancient Near East.,===> Solicitar a/por: DEGIP: 1-2-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Mara, Patrick",The Palermo Stone and the archaic kings of Egypt.,===> Solicitar a/por: DEGIP: 1-2-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pereyra de Fidanza, Violeta",Las fuentes del Libro de Reyes.,===> Solicitar a/por: DEGIP: 1-2-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pereyra de Fidanza, Violeta",Los n—mades en Egipto.,===> Solicitar a/por: DEGIP: 1-2-11a; 1-2-11b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EH Moftah, Ramses",Studies zum Agyptischen kšnigsdogma im Neuen Reich.,===> Solicitar a/por: DEGIP:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mu_ller Wollermann, Renate",Krisenfaktoren im Agyptischen staat des Ausgehenden Alten Reich.,===> Solicitar a/por: DEGIP: 1-2-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Les lettres d'El Amarna: correspondance diplomatique du pharaon.,===> Solicitar a/por: DEGIP: 1-2-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garnsey, Peter, ed.; Hopkins, Keith, ed.; Witaker, C.R. ed.",Trade in the ancient economy.,===> Solicitar a/por: DEGIP: 1-2-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katary, Sally L.D.",Land tenure in the Ramesside period.,===> Solicitar a/por: DEGIP: 1-2-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schulman, Alan R.",Ceremonial execution and public rewards: some historical scenes on New Kingdom private stelae.,===> Solicitar a/por: DEGIP: 1-2-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spalinger, Anthony John",Aspects of the military documents of the ancient egyptians.,===> Solicitar a/por: DEGIP: 1-2-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redford, Donald B.","Pharaonic king-lists, annals and day-books: a contribution to the study of the Egyptian sense of history.",===> Solicitar a/por: DEGIP: 1-2-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strudwick, Nigel",The administration of Egypt in the Old Kingdom: the highest titles and their holders.,===> Solicitar a/por: DEGIP: 1-2-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murname, William J.",The road to Kadesh: a historical interpretation of the battle reliefs of King Sety I at Karnak.,===> Solicitar a/por: DEGIP:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, William Kelly",A table of offerings: 17 years of acquisitions of Egyptian and Ancient Eastern art.,===> Solicitar a/por: DEGIP:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fazzini, Richard A.",Egypt dynasti XXII-XXV.,===> Solicitar a/por: DEGIP: 1-2-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schobinger, Juan",Las religiones precolombinas.,===> Solicitar a/por: DEGIP: 1-2-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosenvasser, Abraham",Egipto e Israel y el monote’smo hebreo: a prop—sito del libro MoisŽs y la religi—n monote’sta de Sigmund Fred.,===> Solicitar a/por: DEGIP: 1-2-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uphill, Eric P.",Egyptian towns and cities.,===> Solicitar a/por: DEGIP: 1-2-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sliwa, Joachim, ed.",Studies in acient art and civilization 2.,===> Solicitar a/por: DEGIP: 1-2-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosenvasser, Abraham",La poes’a amatoria en el antiguo Egipto.,===> Solicitar a/por: DEGIP: 1-2-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosenvasser, Abraham",Torneos de acertijos en la literatura del antiguo Egipto.,===> Solicitar a/por: DEGIP: 1-2-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosenvasser, Abraham",Jerem’as y su Žpoca: la carrera de Jerem’as; vocaci—n del profeta; los or‡culos cr’ticos; los or‡cules juveniles. Colegio Libre de Estudios Superiores,===> Solicitar a/por: DEGIP: 1-2-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosenvasser, Abraham",Her—doto en Egipto: 1. El viaje.,===> Solicitar a/por: DEGIP: 1-2-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rye, Owen S.","Technology, principles and reconstruction: 4. Pottery.",===> Solicitar a/por: DEGIP: 1-2-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SchŠfer, Heinrich",Principles of Egyptian art.,===> Solicitar a/por: DEGIP: 1-2-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, Barbara",Sculptured pottery from Koptos in the petrie collection.,===> Solicitar a/por: DEGIP: 1-2-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quirque, Stephen",The administration of Egypt in the late Middle Kingdom: the hieratuc documents.,===> Solicitar a/por: DEGIP: 1-2-39,,,,,,<HISTORIA>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Bruce",Decorated pottery and the art of Naqada III: a documentary essay.,===> Solicitar a/por: DEGIP: 1-2-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seyfried, Karl Joachim",BeitrŠge zu den expeditionen des Mittleren Reiches in die Ost-Wu_ste. ,===> Solicitar a/por: DEGIP: 1-2-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
