Ubicación física;Título;Autor(es)
DIMED: BS419;Regards sur al-Andaluz <(>VIIIe-XVe siècle<)>;
DIMED: BS418;Visitandum est. Santos y cultos en el Codex Calixtinus;
DIMED: BS416;Valerio del Bierzo : su persona, su obra;
DIMED: BS417;Maestros, escuelas y libros : el universo cultural de las catedrales en la Castilla medieval;
DIMED: BS52;<La> politique des reliques de Constantin à Saint Louis;
DEGIP: 3-3-31;;
DIMED: BS212;Historia de la literatura cristiana primitiva : introducción al Nuevo Testamento, los apócrifos y los padres apostólicos;
DIMED: BS211;Orígenes hispanogodos del Reino de Asturias;
DIMED: BS210;<The> myth of nations : the medieval origins of Europe;
DIMED: BS27;Holy bishops in late antiquity : the nature of Christian leadership in an age of transition;
DIMED: BS22;Diccionario filológico de literatura medieval española : textos y transmisión;
DIMED: BS23, BS24, BS25, BS26;Silos. Un milenio;
DIMED: BS215;Hagiografía y culto a los santos en las Hispania Visigoda: aproximación a sus manifestaciones literarias;
DIMED: BS2;<L'>histoire culturelle;
DIMED: BS214;<La> religion de l'Etat : la construction de la République étatique dans le discours théologique de l'Occident médiéval, 1250-1350;
DIMED: BS213;<Les> saints et l'histoire : sources hagiographiques du haut Moyen Age;
DIMED: BS218;Dos viajes al más allá;
DIMED: BS217;Medieval mothering;
DIMED: BS216;Estrellas y astrólogos en la literatura medieval española;
DIMED: BS222;<El> mundo de los padres del desierto<La> Historia Lausíaca;
DIMED: BS221;Apologías;
DIMED: BS220;<El> Apologético;
DIMED: BS54;Signs of sanctity : miracles in the thought of Gregory the Great;
DIMED: BS56;<El> mundo mediterráneo en la antigüedad tardía, 300-800 d.C;
DIMED: BS57;Histoire des nations et du nationalisme en Europe;
DIMED: BS53;Royautés imaginaires, XIIe-XVIe siècles : actes du colloque;
DIMED: BS51;Scriptorium : el descubrimiento de la escritura;
DIMED: BS58;Miracle et Karáma : hagiographies médiévales comparées 2;
DIMED: BS58;<Los> artificios de las instituciones : estudios del derecho romano;
DIMED: BS510;Patrología;
DIPA: 3-4-50;Arqueología del norte de la Isla Grande de Tierra del Fuego;
DEGIP: 2-1-46;<La> influencia extranjera, el Alto Egipto y Tell El Ghaba, Norte de Sinaí, durante la dinastía XXVI, siglos VII-VI A.C., a través de los hallazgos cerámicos;
DIPA: Hemeroteca;;Sanguinetti de Bórmida, Amalia C.
DIPA: Hemeroteca;;Nami, Hugo G.Borrero, Luis Alberto
DIPA: Hemeroteca;;Nami, Hugo G.Borrero, Luis Alberto
DIPA: Hemeroteca;;Nami, Hugo G.Borrero, Luis Alberto
DIPA: Hemeroteca;;Sanguinetti de Bórmida, Amalia C.Curzio, Damiana E.
DIPA: Hemeroteca;;Nami, Hugo G.
DIMED: BS511;<La> Edad Media guerra e ideología : justificaciones religiosas y jurídicas;
DIPA: Hemeroteca;;Nami, Hugo G.
DIPA: Hemeroteca;;Senatore, María Ximena
DIPA: 3-4-52;Maderas empleadas en la construcción naval : embarcaciones halladas en la Cuenca del Plata y Atlántico Sur;
DIPA: 3-4-54;Primeros pasos españoles en las costas patagónicas: la Expedición Magallanes y el naufragio de la Santiago;
DIPA: 3-4-53;<La> cerámica de manufactura de tradición indígena en Buenos Aires colonial;
DIPA: 3-4-51;;Aldazabal, Verónica BeatrizCasanueva, Laura
DIPA: Hemeroteca;;Menegaz, Adriana
DIPA: Hemeroteca;;Borrero, Luis AlbertoCampán, P.Martín, FabianaBorella, F.
DIPA: Hemeroteca;;Crivelli Montero, Eduardo A.Pardiñas, U.Fernández, M.M.Bogazzi, M.Chavin, A.Fernández, V.Lezcano, M.
DIPA: Hemeroteca;;Prieto, A.Stutz, S.
DIPA: Hemeroteca;;Carreras, C.R.Nieto, M.
DIPA: Hemeroteca;;Rivera, S.M.
DIPA: Hemeroteca;;Urrutia, M.E.Bogazzi, E.
DIPA: Hemeroteca;;Pérez de Micou, C.
DIPA: Hemeroteca;;Sanguinetti de Bórmida, Amalia C.
DIPA: Hemeroteca;;
DIPA: Hemeroteca;;Carballo Marina, FlaviaBorrero, Luis AlbertoFranco, Nora VivianaBelardi, Juan BautistaHorwitz, Victoria D.Muñoz, A. SebastiánCampán, PatriciaMartín, Fabiana M.Borella, FlorenciaGarcía, María FernandaMuñoz, FedericoSavanti, FlorenciaLanata, José Luis
DIPA: Hemeroteca;;Belardi, Juan BautistaBorrero, Luis Alberto
DIPA: Hemeroteca;;###############################################################################################################################################################################################################################################################
DIPA: Hemeroteca;;García, María FernandaCarballo Marina, FlaviaCampan, Patricia A.Cruz, Isabel
DIPA: Hemeroteca;;Muñoz, A. Sebastián
DIPA: Hemeroteca;;Sanguinetti de Bórmida, Amalia C.
DIPA: Hemeroteca;;Eugenio, Emilio Osvaldo
DIPA: Hemeroteca;;Scasso, Roberto A.Eugenio, Emilio Osvaldo
DIPA: Hemeroteca;;Nami, Hugo G.
DIPA: Hemeroteca;;Prieto, Aldo R.Stutz, SilvinaPastorino, Susana
DIPA: Hemeroteca;;Menegaz, Andriana N.Nami, Hugo G.
DIPA: Hemeroteca;;Nami, Hugo G.
DIPA: Hemeroteca;;Zarankin, AndrésSenatore, María Ximena
DIPA: Hemeroteca;;Gradin, Carlos J.Trivi de Mandri, Matilde E.
DIMED: L12;Patrimonio cultural de San Isidoro de León;
DIMED: L119;<La> filosofia nelle università secoli XIII-XIV;
DEGIP: 3-3-29;Tomb painting and identity in Ancient Thebes, I419-I372 BCE;
DEGIP: 3-3-30;Writngs late Egyptian hieratic : a beginner's primer;
DEGIP: 3-3-31;Middle Egyptian : an introduction to the Language and Culture of Hieroglyphs;
DEGIP: 3-3-32;Late Egyptian Grammar : an introduction;
DIPA: 6-1-1;<La> Patagonia salvaje : la Expedición Magallánica Sueca a la Patagonia, Tierra del Fuego, Malvinas, Chiloé, Juan Fernández y Georgias del Sur, octubre de 1907 a mayo de 1909;
DIPA: 6-1-2;<En el> corazón de la Patagonia : en busca del último milodón : setiembre 1900-mayo 1901;
DIPA: 6-1-3;Aventuras en Patagonia : un viaje de exploración de dos misioneros norteamericanos noviembre 1833-marzo 1834;
DIPA: 6-1-4;Cazadores de huesos en la Patagonia : expediciones de la Universidad de Princeton a la Patagonia marzo 1896-setiembre 1899;
DIPA: 6-1-5;María Reina Tehuelche : amor y poder en la Patagonia alrededor de un personaje insólito y olvidado pero de notable influencia, 1820-1843;
DIPA: 6-1-6;<Los> Onas de Tierra del Fuego : una visión de principios del siglo XX de un pueblo hoy extinguido;
DIPA: 6-1-7;Misión al Cabo de Hornos : la expedición francesa a Tierra del Fuego en la Romanche y su relevamiento de los aborígenes fueguinos : julio 1882-setiembre 1883;
"DIPA: 6-1-12; 6-1-12a";Vida entre los Patagones : un año de excursiones desde el Estrecho de Magallanes hasta el río Negro, 1869-1870;
DIPA: 6-1-11;Diarios de navegación : expediciones por las costas y ríos patagónicos, 1780-1783;
DIPA: 6-1-10;Exploración de la Patagonia Sur;
DIPA: 6-3-1;Expedición a la Patagonia : un viaje a las tierras y mares australes, 1881-1882;
DIPA: 6-3-1;Enciclopedia de los barcos hundidos : Atlántico Sur y Pacífico Sur : desde el Golfo San Jorge hasta el Golfo de Penas;
DIMED: K310, K311;Etimologías;
"DIPA: 6-1-22; DIMED: H5";Fuentes e interdisciplina : actas;
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Nacuzzi, Lidia R.
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Zubimendi, Miguel AngelBastida, RicardoMartín, Juan PabloCastro, AliciaBogan, Sergio
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Schuster, Verónica
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Ambrústolo, Pablo
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Rigone, Romina Carla
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Marschoff, María
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Palombo, Paula
DIPA: 6-1-14;Fuentes e interdisciplina : actas;González, Luis R.Gluzman, Geraldine A.
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Gómez, Nora M.
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Rodríguez, Gerardo
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Manzi, Ofelia
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Guglielmi, Nilda
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Gorla, Carlos María
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Vidal Koppmann, Sonia
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Sánchez, Darío César
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Conte, Analía S.Etchepareborda, Mariana P.Marino, Mariela P.Riera, EdgardoVázquez Rovere, Fernando
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Daneri Rodrigo, Alicia
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Campagno, Marcelo
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Tebes, Juan Manuel
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Flammini, Roxana
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Capuz, Silvia M.
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Vega, LauraEscobar, MarceloGautrin, DenyseLizárraga, Fernando
DIPA: 6-1-14;Fuentes e interdisciplina : actas;García Posse, Pedro
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Matossian, Brenda
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Gallero, María Cecilia
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Crespo, Celeste María
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Pfoh, Emanuel
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Costa. M. EugeniaFükelman, M. CristinaMora Ribeiro, Eleonora C.
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Cruz, Mariana
DIPA: 6-1-14;Fuentes e interdisciplina : actas;López Ocariz, Cecilia
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Salerno, Melisa AnabellaRodríguez, Silvia Mariana
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Aldazabal, VerónicaAgueda Castro, María
DIPA: 6-1-14;Fuentes e interdisciplina : actas;García Montaldo, María José
DIPA: 6-1-14;Fuentes e interdisciplina : actas;Prone, Pablo Andrés
DIPA: 6-1-18;Fuentes e interdisciplina : actas;Girbal Blacha, Noemí M.
"DIPA: 6-1-15; 6-1-16";Dos años en los hielos del polo : la Expedición Sueca en el Antárctico y su rescate por la Uruguay, octubre 1901-diciembre 1903;
DIPA: 6-1-14;"Cautivo en la Patagonia : un norteamericano en la tierra de los <"">gigantes<""> 1849";
DIPA: 6-1-17;Arqueología e historia en la colonia española de Floridablanca : Patagonia, siglo XVIII;
DIPA: 6-1-18;Más allá de la superficie : arqueología y geofísica en Floridablanca <(>Patagonia, siglo XVIII<)>;
DIPA: 6-1-19;Organizar la diferencia : prácticas de consumo en Floridablanca <(>costa patagónica, siglo XVIII<)>;
DIPA: 6-1-20;Gato por liebre : prácticas alimenticias en Floridablanca;
DIPA: 6-1-21;<Las> cuatro estaciones : segmentación del tiempo y el espacio en Floridablanca <(>costa patagónica, siglo XVIII<)>;
DEGIP: Hemeroteca;Tell El Ghaba I : a saite settlement in North Sinai, Egypt <(>Argentine Archaeological Mission, 1995-2004<)> : introduction : catalogue;
DEGIP: Hemeroteca;Tell El Ghaba I : a saite settlement in North Sinai, Egypt <(>Argentine Archaeological Mission, 1995-2004<)> : introduction : studies;
DEGIP: 2-1-47;Territory and territoriality in ancient Egypt. An alternative interpretation for the Early Dynastica and Old Kingdom periods;
"DIPA: 6-1-23; 6-1-24";Desde el país de los gigantes : perspectivas arqueológicas en Patagonia;
DIPA: 6-1-25;Arqueología solo Patagonia : ponencias;
DIPA: 6-1-26;Soplando en el viento : actas de las III Jornadas de Arqueología de la Patagonia;
DIPA: 6-1-27;Contra viento y marea. Arqueología de Patagonia;
DIMED: I0;Pagan city and Christian capital : Rome in the fourth century;
DIMED: I0;State and society in the early Middle Ages : the middle Rhine Valley, 400-1000;
DIMED: I0;Authority and asceticism from Augustine to Gregory the Great;
DIMED: I0;Chivaldry and violence in medieval Europe;
DIMED: I0;Medieval law and the foundations of the state;
DIMED: H5;<La> leyenda negra de España y los marranos : Toledo 1449-Nuremberg 1935;
DIMED: I0;Etudes d'exégèse carolingienne : autour d'Haymon d'Auxerre;
DIPA: 6-1-28;Exploración de la Patagonia norte : un viajero en el Nahuel Huapi, 1862-1863;
DIPA: 6-1-29;Aborígenes de la Patagonia : los Onas: tradiciones, costumbres y lengua;
DIMED: I0;<Um> cruzamento de fronteiras : o discurso dos Concelhos da Guarda em Cortes;
DIMED: J0;Poesie;
DIMED: J0;Storia d'Italia;
DIMED: J0;<La> scienza nuova prima;
DIMED: J0;<La> scienza nuova seconda;
DIMED: J0;Scritti Storici;
DIMED: J0;Opuscoli e lettere riformatori italiani del cinquecento;
DIMED: J0;Novellieri minori del cinquecento;
DIMED: J0;Opere;
DIMED: J0;<Il> pensiero italiano del Rinascimento;
DIMED: J03;Teoria e storia della storiografia;
DIMED: J0;Storia della storiografia italiana nel secolo decimonono;
DIMED: J0;Poeti e scrittori del pieno e del tardo Rinascimento;
DIMED: J0;<La> poesia di Dante;
DIMED: J0;Poesia popolare e poesia d'arte;
DIMED: J0;Poemetti allegorico didattici del secolo XIII;
DIMED: J05;History and destiny: ethnosymbolism and its critics;
DIMED: J07;<The> passions of Christ in high medieval thought : an essay on christological development;
DIMED: J01;Negociar en la Edad MediaNégocier au Moyen Age;
DIMED: H5;Don Juan Manuel : obras completas : Crónica abrevidada. Libro de la caça. Libro del cavallero et del escudero. Libro de los estados. El Conde Lucanor. Libro enfenido. Libro de las armas o de las tres razones. Tratado de la Asunción de la Virgen María ;
DIMED: J06;Courtly contradictions : the emergence of the literary object in the twelfth century;
DIMED: J09;<La> corona catalanoaragonesa i el seu entorn mediterrani a la baixa edat mitjana;
DIMED: J08;Unjust seizure : conflict, interest, and authority in an early medieval society;
DIMED: J04;Images of the divine : the theology of icons at the seventh ecumenical council;
DIMED: M4;Crónica del moro Rasis;
DIMED: N37;<An> annotated bibliography on Ibn Sina : first supplement 1990-1994;
DIGEO:;Mapa del delito;
DIMED:N215;Etymologies and genealogies : a literary anthropology of the French Middle Ages;
DIMED:N42;Suma teológica : nueva versión sobre el texto latino : tomo XIII : Fortaleza y templanza;
DEGIP: 3-1-1;Comercio y colonialismo en el Próximo Oriente antiguo : los antecedentes coloniales del III y II milenios a.C;
DEGIP: 3-1-2;Poetry and culture in Middle Kingdom Egypt : a dark side to perfection;
DEGIP: 3-1-3;<Die> Erzählung von den beiden Brüden : der Papyrus d'Orbiney und die Königsideologie der Ramessiden;
DEGIP: 3-1-4;Thutmose III : a new biography;
DEGIP: 3-1-5;Tomb painting and identity in Ancient Thebes, 1419-1372 BCE;
DIMED: I0;<Les> apocryphes syriaques;
DIMED: I0;<A> manual of Pahlavi ;
DIMED: I0;Alexandrie et Constantinople, 451-491 : de l'histoire à la géo-ecclésiologie;
DIMED: I0;<La> langue du royaume de Méroé : un panorama de la plus ancienne culture écrite d'Afrique subsaharienne;
DIMED: I0;Gramática de copto sahídico;
DIMED: I0;<A> coptic grammar : with chrestomathy and glossary Sahidic dialect;
DIMED: P1;Bizancio y el mundo ortodoxo;
DIMED: P1;Filólogos bizantinos;
DIMED: P1;Ascetics and ambassadors of Christ : the monasteries of Palestine, 314-631;
DIPA: 6-2-13;Llegar a un nuevo mundo : la arqueología de los primeros pobladores del actual territorio argentino;
DIPA: 3-2-12a;Colección de obras y documentos relativos a la historia antigua y moderna de las provincias del Río de la Plata;
DIMED:I0;<The> legacy of Chrétien de Troyes;
DIMED:I0;<A> history of the vikings;
DIMED:I0;<Los> trovadores : historia literaria y textos;
DIMED: I0;García I, Ordoño II, Fruela I, Alfonso IVReyes de León;
DIMED: I0;Vida de los Santos Padres de Mérida;
DIMED: I0;<La> magia en los manuscritos medievales;
DIMED: I0;<Il> papato nel Medioevo;
DIMED: I0;<La> consolidación territorial de la monarquía feudal castellana : expansión y fronteras durante el reinado de Fernando III;
DIPA: 6-1-31;<Los> Selk'nam <(>Onas<)> : evolución cultural en Tierra del Fuego;
DIMED: I0;<La> materia de Troya en las letras romances del siglo XIII hispano;
DIMED: CAEBIZ P27;Armenia sacra : mémoire chrétienne des Arméniens : IV-XIII siècle ;
DIMED: I0;<The> martyrs of Cordoba <(>850-859<)> : a study of the sources : a dissertation;
DIMED: I0;<El> arte hispano-musulmán en su decoración geométrica : una teoría para un estilo;
DIMED: I0;<The> shock of medievalism;
DIMED: I0;Héroes de libro : poesía heroica en las culturas anglogermánicas medievales;
DIMED: I0;<El> saber en Al-Andaluz : homenaje al profesor D. Pedro Martínez Montávez;
DIPA: 6-1-32;Comunicaciones de las Primeras Jornadas de Arqueología de la Patagonia;
DIMED: I0;Ordoño III - 951-956, Sancho I - 956-966, Ordoño IV - 958-959, Ramiro III - 966-985, Vermudo II - 982-999Reyes de León <(>2<)>;
DIMED: I0;<Las> letras y las ciencias en el medievo hispánico;
DIMED: N0;Mérida tardorromana <(>300-580 d.C.<)>;
DIPA: 6-1-33;Arqueología y biogeografía humana en Patagonia Meridional;
DEGIP: 3-4-15;Death and salvation in Ancient Egypt;
DEGIP: 4-3-;Recherches dans la pyramide et au temple haut du Pharaon Pépi Ier. a Saqqarah;
DEGIP: 3-4-22;Man and his double in Egyptian ideology of the Old Kingdom;
DIMED: N0;Origines des peuples : les récits du Haut Moyen Âge occidental <(>550-850<)>;
DIMED: I0;<Le> martyre de Saint Aréthas et de ses compagnos <(>BHG 166<)> : Le massacre de Najrân I;
DIMED: I0;Capitalists in spite of themselves : elite conflict and economic transitions in early modern Europe;
DIMED: I0;<La> era mozárabe : los mozárabes de Toledo <(>siglos XII y XIII<)> en la historiografía, las fuentes y la historia;
DIMED: I0;Magic and ritual in the ancient worldReligions in the Graeco Roman world;
DIMED: I0;<The> cult of saints among muslims and jews in medieval Syria;
DIMED: N0;Islam et voyage au Moyen Âge;
DIMED: N0;<Les> tabous de l'histoire;
DIMED: N0;Entre science et nigromance : astrologie, divination et magie dans l'Occident mediéval, XIIe-XVe siècle;
DIMED: N0;<La> dérision au Moyen Age : de la practique sociale au rituel politique;
DIMED: N0;Crónica del Rey don Rodrigo postrimero rey de los godos <(>crónica sarracina<)>;
DIMED: N0;<La> civilisation byzantine;
DIMED: N0;Lieux sacrés, lieux de culte, sanctuaires : approaches terminologiques, méthodologiques, historiques et monographiques;
DIMED: N0;<La> Maison Dieu : une histoire monumentale de l'Eglise au Moyen Age, v.800 -v. 1200;
DIMED: N0;<El> comercio en la Edad Media;
DIMED: N0;<El> espacio urbano en la Europa medieval;
DIPA: 6-1-34;Arqueología de Fuego<->Patagonia Meridiona. Levantando piedras, desenterrando huesos... y develando arcanos;
DIPA: 6-1-35;<Un> relato de diversos viajes y descubrimientos recientes ;
DIMED:U2;<The> cross, the imagen and the passion in Carolingian thought and art;
DIPA: 6-1-35;<El> estudio arqueológico del proceso coevolutivo entre las poblaciones humanas y las poblaciones de guanaco en Patagonia meridional y norte de Tierra del Fuego ;
DIMED: U2;Dictionnaire français espagnol español francés;
DIMED:B3;Local and regional chronicles;
DIMED:B3;<Le> paysage rural: les structures parcellaires de l'Europe du Nord-Ouest;
DIMED:B3;<L'> écriture;
DIMED:B3;Ciceronian rhetoric in treatise, scholion and commentary;
DIMED:B3;<Les> lectures liturgiques et leurs livres;
DIMED:B3;Charmes et prières apotropaïques;
DIMED:B3;<The> sermon;
DIMED:B3;<Die> dokumente der Klösterlichen Visitationen;
DIMED:B3;<Le> château;
DIMED:B3;<L'> outil;
DIMED:B3;<Les> livres de cuisine médiévaux;
DIMED:B3;Stained glass windows;
DIMED:B3;<La> littérature cynégétique;
DEGIP:PP;;Tebes, Juan Manuel
DEGIP:PP;;Pfoh, Emanuel
DIGEO:;Biblioclastía : los robos, la represión y sus resistencias en bibliotecas, archivos y museos de Latinoamérica;
DIMED: 05;Derecho y justicia: el poder en la Europa medievalDroit et justice: le pouvoir dans l'Europe médiévale;
DIMED: U2;Historia de la acción educadora de la iglesia en España I : edades antigua, media y moderna;
DIMED: I5;;
DIMED: T3;;
DIMED: L3;;
DIMED: C2;;
DIMED:02;;
DIMED:O0;;
DIMED:D02;;
DIMED: P1;;
DIMED:A0;;
DIMED:H0;;
DIMED: J-3;;
DIMED: H-3;;
DIMED: H-5;;
DIMED: C4;;
DIMED: I2;;
DIMED: J-4;;
DIMED: J-5;;
DIMED: A0;;
DIMED: O3;;
DIMED: H2;;
DIMED: A5;;
DIMED: F0;;
DIMED: K-L0;;
DIMED: J-4;;
DEGIP: 3-4-1;<The> ancient egyptian coffin texts : spells 1-1185 and indexes;
DIMED: R1;;
DIMED: T3;;
DIMED: F-0;;
DIMED: A0;;
DIMED: L1;;
DIMED: P4;;
DIMED: M4;;
DIMED:U3;<La> alta Edad Media : Europa 400-1000;
DIMED: O0;;
DIMED: K4;;
DIMED: O0;;
DIMED: T3;;
DIMED: F0;;
DIMED: F0;;
DIMED: I3;;
DIPA: 6-2-1;Bestiario fósil : mamíferos del pleistoceno de la Argentina;
"DIPA: 6-2-2; 6-2-3 ";Historia argentina prehispánica;
DIPA: 6-2-4;Procesos sociales prehispánicos en el sur andino : la vivienda, la comunidad y el territorio;
DIPA: 6-2-5;Producción y circulación prehispánicasde bienes en el sur andino;
DIPA: 6-2-6;Ishi : el último de su tribu;
DIMED: I3;;
DIMED: O1,2;;
DIMED: H0;;
DIMED: F0;;
DIMED: N4;;
DIMED: N4;;
DIMED: T3;;
DIMED: O2;;
DIMED: G2;;
DIMED: O2;;
DIMED: P5;;
DIMED: I5;;
DIMED: 02;;
DIMED: A0;;
DIMED: N4;;
DIMED: L3;;
DIMED: I4;;
DIMED: N4;;
DIMED: P3;;
DIMED: N2;;
DIMED: D0;;
DIMED: H3;;
DIMED: G2;;
DIMED: P0;;
DIMED: A0;;
DIMED: C3;;
DIMED: A5;;
DIMED: H0;;
DIMED:Of.Dirección;Richiesta Nº 2864 Segnatura: Vat. lat. 647;
DIMED: H0;;
DIMED: C0;;
DIMED: C3;;
DIMED: L5;;
DIMED: H0;;
DIMED: J3;;
DIMED: F0;;
DIMED: I3;;
DIMED: G5;;
DIMED: N4;;
DIMED: G4, G5;;
DIMED: G3;;
DIMED: F3;;
DIMED: F3;;
DIMED: F3;;
DIMED: J1;;
DIMED: F0;;
DIMED: N2;;
DIPA: Hemeroteca;;
DIMED: M5;;
DIMED: A0;;
DIMED: G2;;
DIGEO: 21635;;
DIGEO: 542;;
DIGEO: Hemeroteca;;
DIMED:U2;<Le> problème de la nation chez Bède le Vénérable;
DIMED: U2;Changer le monde réécritures d'une légende : le Purgatoire de saint Patrick;
DIMED: U2;Conter de geste au XIVe siècle : inspiration folklorique et écriture épique dans la belle Hélène de Constantinople;
DIMED: U2;<El> cenit de la Edad Media;
DIMED: U2;Dictionnaire des philosophes médievaux;
DIMED: U2;<La> chanson de geste;
DIMED: U2;Littérature, politique et société dans la France du Moyen Age;
DIMED: U2;<L'> empire du livre : pour une histoire du savoir scolastique <(>1200-1380<)>;
DIMED: U3;Palimpsestes épiques : récritures et interférences génériques;
DIGEO: 21472;;
DIGEO: 1658;;
DIGEO: Hemeroteca;;
DIGEO: 549;;
DIGEO: Hemeroteca;;
DIGEO: 799;;
DIGEO: 1319;;
DIGEO: 1614;;
DIGEO: 1614;;
DIGEO: Hemeroteca;;
DIGEO: 1665;;
DIGEO: 1488;;
DIGEO: 550;;
DIGEO: Hemeroteca;;
DIGEO: Hemeroteca;;
DIGEO: 1638;;
DIGEO: Hemeroteca;;
DIGEO: Hemeroteca;;
DIGEO: 1662;;
DIGEO: Hemeroteca;;
DIGEO: 1382;;
DIGEO: 644;;
DIGEO: Hemeroteca;;
DIGEO: 559;;
DIGEO: 1485;;
DIGEO: 1470;;
DIGEO: 1666;;
DIGEO: Hemeroteca;;
DIGEO: 747;;
DIGEO: Hemeroteca;;
DIGEO: Hemeroteca;;
DIGEO: 1445;;
DIGEO: 552;;
DIGEO: Hemeroteca;;
DIGEO: Hemeroteca;;
DIGEO: 1613;;
DIGEO: 21486;;
DIGEO: 1639, 1474;;
DIGEO: 21640;;
DIGEO: 21617;;
DIGEO: 21617;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DIPA: 6-2-7;Guerreros, máscaras y narices decoradas : culturas nativas del Litoral entrerriano y la colección arqueológica Manuel Almeida;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DIPA: 6-2-8;Hain : ceremonia de iniciación de los Selknam de Tierra del Fuego;
DIPA: 6-2-9;Fin de un mundo : los Selknam de Tierra del Fuego;
DIPA: 6-2-10;Arqueología del sitio inka de La Alcaparrosa : Parque Nacional San Guillermo Provincia de San Juan;
DIGEO:;Geografía e historia natural hacia una historia comparada : estudio a través de Argentina, México, Costa Rica y Paraguay;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DIMED: BS5;Toledo en época omeya, ss. VIII-X;
DIMED: BS5;Miracles and wonders : the development of the concept of miracle, 1150-1350;
DIMED: BS5;<La> biblia en la literatura española;
DIMED: BS5;<The> sepulchre of Christ and the medieval west : from the beginning to 1600;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: 3-4-2;Assyrian and Babylonian chronicles;
DIPA: 6-2-11;Estudios arqueológicos en Yocavil;
DIMED: V21;Understanding the Middle Ages : the transformation of ideas and attitudes in the medieval world;
DIMED: V22;Raúl de Cambrai : cantar de gesta francés;
DIMED: V23;<La> aristocracia medieval : el dominio social en Occidente siglos V-XV;
DIMED: V24;Negociar en la Edad MediaNégocier au Moyen Age;
DIMED: V25;Meraugis de Portlesquez;
DIMED: V25;<La> venganza de Raguidel;
DIMED: V25;<La> venganza de Raguidel;
DIMED: V27;<El> libro d´Eneas;
DIMED: V28;Programa de Estudos Medievais : instituiçoes, cultura e poder na Idáde Média Ibérica ;
DIMED: V29;Mines et pouvoir au Moyen Age;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: Hemeroteca;;
DEGIP: 3-4-3;Agyptisches wörterbuch I : Altes Reich und Erste ZwischenzeitDiccionario egipcio I : Reino Antiguo y Primer Período Intermedio;
DEGIP: 3-4-5;Agyptisches wörterbuch II : Mittleres Reich und Zweite ZwischenzeitDiccionario egipcio II : Imperio Medio y Segundo Período Intermedio;
DEGIP: 3-4-4;Agyptisches wörterbuch II : Mittleres Reich und Zweite ZwischenzeitDiccionario egipcio II : Imperio Medio y Segundo Período Intermedio;
DEGIP: 3-4-6;<Die> Sprache der Pharaonen : Grobes Handwörterbuch Agyptisch Deutsch 2800-950 v. Chr.;
DEGIP: 3-4-7;<Die> Sprache der Pharaonen : Grobes Handwörterbuch Deutsch Agyptisch 2800-950 v. Chr.;
DEGIP: 3-4-17;Ancient Egyptian religion;
DEGIP: 3-4-20;Rituels funéraires de l'Ancienne Egypte;
DEGIP: 3-4-12;<Le> temps des pyramides : de la préhistoire aux Hyksos,1560 av. J.C.;
DEGIP: 3-4-16;Ancient egyptian kinship: an afrocentric case study;
DIMED: M4;;
DIMED: F0;;
