Ubicación física;Título;Autor(es)
DEGIP: 3-3-;Dictionnaire français espagnol español francés;
DEGIP: Ref 5;Oxford advanced learner's dictionary of current English;
DEGIP: Ref 8;Diccionario de las lenguas española y alemana II;
DEGIP: Ref 6;Dictionnaire de la langue française LEXIS;
DEGIP: Ref 7;Diccionario de las lenguas española y alemana I;
DEGIP: Ref 9DIMED A511;Diccionario internacional Simon and Schuster inglés/español español/inglés;
DEGIP: Ref 10;Diccionario de la lengua española;
DEGIP: A-1;<The> Rhind mathematical papyrus: an ancient Egyptian text;
DEGIP: A-2;;Hornung, ErikStaehelin, Elisabeth
DEGIP: A-3;Fundobjekte aus Tell el-Dab'a;
DEGIP: A-4;;Fuscaldo, Perla
DEGIP: A-5, A-6;;Fuscaldo, Perla
DEGIP: A-7;;Fuscaldo, Perla
DEGIP: A-9;;Fuscaldo, Perla
DEGIP: A-10;;Redford, Donald B.
DEGIP: A-11;;Daneri de Rodrigo, Alicia
DEGIP: A-12;;Olsen, Stanley J.
DEGIP: A-13;;Redford, Donald B.
DEGIP: A-14;;
DEGIP: A-15;;Barich, BArbara E.Hassan, Fekri A.
DEGIP: A-17;;Borchardt, Ludwig
DEGIP: A-18;;Trench, Jorge A.Fuscaldo, Perla
DEGIP: A-19;;Voss, Heerma van
DEGIP: A-20;;Helck, WolfgangWestendorf, Wolfhart
DEGIP: A-21;;Voos, Heerma van
DEGIP: A-22;Anoebis en de demonen;
DEGIP: A-24;;Leclant, Jean
DEGIP: A-25;;Martin Pardey, Eva
DEGIP: A-27;;Lauffray, JeanSauneron, Serge
DEGIP: A-28;Vijf dekaden demonen da capo;
DEGIP: A-29;;
DEGIP: A-30;;Chéhab, Maurice
DEGIP: A-31;;Singer, Itamar
DEGIP: A-32;;Singer, Itamar
DEGIP: A-33;;Singer, Itamar
DEGIP: A-34;;Singer, Itamar
DEGIP: A-35;Catalogue sur fiches d'antiquités égyptiennes;
DEGIP: A-36;;Ward, W.
